station,year,Month,sst.station
1,1,1,4.016666666666667
1,1,3,4.1033333333333335
1,2,3,2.70875
1,2,4,4.5075
1,3,1,3.2333333333333334
1,3,2,1.4625
1,3,3,2.03
1,3,4,4.11
1,4,1,2.9775
1,4,2,3.04375
1,4,3,3.1975000000000002
1,4,4,5.1175
1,5,1,1.3766666666666667
1,5,2,-0.2833333333333333
1,5,3,-0.14333333333333334
1,5,4,2.7483333333333335
1,6,1,2.27
1,6,2,1.8483333333333332
1,6,3,2.7866666666666666
1,6,4,4.176666666666667
1,7,1,4.463333333333333
1,7,2,3.495
1,7,3,3.4899999999999998
1,7,4,4.965
1,8,1,3.1566666666666667
1,8,2,2.106666666666667
1,8,3,2.6766666666666667
1,8,4,4.456666666666667
1,9,1,4
1,9,2,3.08
1,9,3,3.6466666666666665
1,9,4,6.523333333333333
1,10,1,4.556666666666667
1,10,2,2.9033333333333333
1,10,3,2.5833333333333335
1,10,4,4.493333333333333
1,11,1,2.82
1,11,2,3.5233333333333334
1,11,3,3.53
1,11,4,5.1000000000000005
1,12,1,2.2816666666666667
1,12,2,1.51
1,12,3,2.73
1,12,4,2.7333333333333334
1,13,1,3.9966666666666666
1,13,2,2.4833333333333334
1,13,3,2.93
1,13,4,5.46
1,14,1,4.8966666666666665
1,14,2,2.8433333333333333
1,14,4,4.023333333333333
1,15,1,2.79
1,15,2,1.22
1,15,3,1.3966666666666667
1,15,4,4.583333333333333
1,16,1,6.72
1,16,2,4.236666666666667
1,16,3,4.016666666666667
1,16,4,6.616666666666666
1,17,1,4.123333333333333
1,17,2,3.94
1,17,3,4.373333333333333
1,17,4,5.583333333333333
1,18,1,4.036666666666666
1,18,2,2.3
1,18,3,2.9066666666666667
1,18,4,4.873333333333333
1,19,1,2.45
1,19,2,0.8
1,19,3,0.8833333333333333
1,19,4,3.2666666666666666
1,20,1,1.125
1,20,3,0.16333333333333333
1,20,4,2.9
1,21,1,5.136666666666667
1,21,3,2.38
1,21,4,3.853333333333333
1,22,1,2.0866666666666664
1,22,2,1.4066666666666665
1,22,3,0.98
1,22,4,1.5433333333333332
1,23,2,2.6
1,23,3,3.4766666666666666
1,23,4,6.283333333333333
1,24,1,5.036666666666667
1,24,2,3.4833333333333334
1,24,3,4.14
1,24,4,6.3533333333333335
1,25,1,4.665
1,25,2,3.2766666666666664
1,25,3,4.06
1,25,4,5.99
1,26,1,3.705
1,26,2,2.2966666666666664
1,26,3,3.35
1,26,4,4.996666666666667
2,1,1,4.043333333333333
2,1,3,3.9766666666666666
2,2,3,2.71375
2,2,4,4.775
2,3,1,3.4533333333333336
2,3,2,1.5950000000000002
2,3,3,2.1525
2,3,4,3.4175
2,4,1,3.4575
2,4,2,3.18375
2,4,3,3.42125
2,4,4,5.4475
2,5,1,1.79
2,5,2,-0.3125
2,5,3,0.15
2,5,4,2.3311111111111114
2,6,1,2.9725
2,6,2,1.98
2,6,3,3.1925
2,6,4,3.8175
2,7,1,4.63
2,7,2,3.5316666666666667
2,7,3,3.6533333333333333
2,7,4,4.815
2,8,1,3.2466666666666666
2,8,2,2.2866666666666666
2,8,3,2.9133333333333336
2,8,4,4.083333333333333
2,9,1,4.066666666666666
2,9,2,3.3533333333333335
2,9,3,3.5716666666666668
2,9,4,6.446666666666666
2,10,1,4.783333333333333
2,10,2,2.6866666666666665
2,10,3,3.0533333333333332
2,10,4,4.453333333333333
2,11,1,2.9066666666666667
2,11,2,3.43
2,11,3,3.5633333333333335
2,11,4,4.906666666666667
2,12,1,2.175
2,12,2,1.8366666666666667
2,12,3,2.5666666666666664
2,12,4,3.1766666666666667
2,13,1,4.04
2,13,2,2.3433333333333333
2,13,3,2.9066666666666667
2,13,4,6.15
2,14,1,4.8933333333333335
2,14,2,2.62
2,14,4,4.0216666666666665
2,15,1,2.69
2,15,3,1.2916666666666665
2,15,4,4.23
2,16,1,6.8933333333333335
2,16,2,4.163333333333333
2,16,3,3.95
2,16,4,6.1466666666666665
2,17,1,4.503333333333333
2,17,2,4.033333333333333
2,17,3,4.423333333333333
2,17,4,5.506666666666667
2,18,1,3.876666666666667
2,18,2,2.3466666666666667
2,18,3,2.95
2,18,4,5.023333333333333
2,19,1,2.853333333333333
2,19,2,0.7533333333333333
2,19,3,0.86
2,19,4,4.34
2,20,1,1.3266666666666667
2,20,3,0.13
2,20,4,2.716666666666667
2,21,1,5.03
2,21,3,2.8633333333333333
2,21,4,3.66
2,22,1,1.46
2,22,2,1.4766666666666666
2,22,3,1.2
2,22,4,1.7133333333333334
2,23,2,2.5666666666666664
2,23,3,3.3983333333333334
2,23,4,7.476666666666667
2,24,1,5.016666666666667
2,24,2,3.8733333333333335
2,24,3,4.406666666666667
2,24,4,6.493333333333333
2,25,4,6.1433333333333335
2,26,1,4.583333333333333
2,26,2,2.2266666666666666
2,26,3,3.4
2,26,4,5.466666666666667
3,1,1,3.82
3,1,3,3.493333333333333
3,2,3,2.5524999999999998
3,2,4,3.44
3,3,1,3.0033333333333334
3,3,3,1.38875
3,3,4,2.2175
3,4,1,3.3449999999999998
3,4,2,2.92
3,4,3,2.76
3,4,4,3.8449999999999998
3,5,1,2.56
3,5,3,1.02
3,5,4,1.9475
3,6,1,2.0525
3,6,2,1.49
3,6,3,2.125
3,6,4,2.5225
3,7,1,4.276666666666666
3,7,2,2.35
3,7,3,2.3216666666666668
3,7,4,2.7866666666666666
3,8,1,3.15
3,8,2,2.2966666666666664
3,8,3,2.22
3,8,4,3.6166666666666667
3,9,1,3.2733333333333334
3,9,2,2.5866666666666664
3,9,3,2.5733333333333333
3,9,4,5.676666666666667
3,10,1,5.333333333333333
3,10,3,3.015
3,10,4,3.66
3,11,1,3.0433333333333334
3,11,2,2.4266666666666667
3,11,3,2.4066666666666667
3,11,4,3.62
3,12,1,2.703333333333333
3,12,2,0.6066666666666667
3,12,3,1.3166666666666667
3,12,4,1.6866666666666665
3,13,1,3.0833333333333335
3,13,2,2.0733333333333333
3,13,3,1.8966666666666665
3,13,4,3.97
3,14,1,3.9133333333333336
3,14,2,2.6166666666666667
3,14,4,3.515
3,15,3,1.29
3,15,4,3.84
3,16,1,4.8966666666666665
3,16,2,2.9633333333333334
3,16,3,3.01
3,16,4,4.383333333333334
3,17,1,4.45
3,17,2,3.9766666666666666
3,17,3,3.9
3,17,4,4.243333333333333
3,18,1,4.15
3,18,2,2.506666666666667
3,18,3,2.506666666666667
3,18,4,4.286666666666667
3,19,1,2.976666666666667
3,19,2,1.44
3,19,3,0.5766666666666667
3,19,4,2.0866666666666664
3,20,1,1.2733333333333334
3,20,3,-0.023333333333333334
3,20,4,1.1566666666666665
3,21,3,3.105
3,21,4,3.2333333333333334
3,22,2,2.63
3,22,3,1.62
3,22,4,1.62
3,23,2,2.4933333333333336
3,23,3,3.0433333333333334
3,24,1,4.916666666666667
3,24,2,3.4333333333333336
3,24,3,3.54
3,24,4,5.343333333333334
3,25,1,3.72
3,25,2,2.93
3,25,3,3.17
3,25,4,5.32
3,26,1,3.7
3,26,2,2.4266666666666667
3,26,3,2.473333333333333
3,26,4,3.8066666666666666
4,1,1,4.29
4,1,3,3.6733333333333333
4,2,3,2.78375
4,2,4,4.13
4,3,1,3.9933333333333336
4,3,2,2.13
4,3,3,2.0775
4,3,4,3.6125
4,4,1,4.045
4,4,2,3.4
4,4,3,3.3985714285714286
4,4,4,4.42
4,5,1,2.6833333333333336
4,5,3,0.6433333333333333
4,5,4,2.145
4,6,1,3.3333333333333335
4,6,2,2.7133333333333334
4,6,3,2.8633333333333333
4,6,4,3.6766666666666667
4,7,1,5.015000000000001
4,7,2,3.69
4,7,3,3.6083333333333334
4,7,4,4.2
4,8,1,3.63
4,8,3,2.6333333333333333
4,8,4,3.756666666666667
4,9,1,4.36
4,9,2,3.33
4,9,3,3.4483333333333333
4,9,4,5.963333333333334
4,10,1,4.37
4,10,2,3.1033333333333335
4,10,3,3.04
4,10,4,4.633333333333333
4,11,1,3.0566666666666666
4,11,2,3.34
4,11,3,3.4633333333333334
4,11,4,4.133333333333334
4,12,1,3.1666666666666665
4,12,2,1.9166666666666665
4,12,3,2.0233333333333334
4,12,4,2.5
4,13,1,4.473333333333334
4,13,2,3.1166666666666667
4,13,3,2.96
4,13,4,5.126666666666667
4,14,1,4.8
4,14,3,1.71
4,14,4,3.57
4,15,1,2.6866666666666665
4,15,3,1.2966666666666666
4,15,4,3.6666666666666665
4,16,1,6.6
4,16,3,3.83
4,16,4,5.8133333333333335
4,17,1,4.843333333333333
4,17,2,4.23
4,17,3,4.41
4,17,4,5.27
4,18,1,4.476666666666667
4,18,2,3.16
4,18,3,3.2566666666666664
4,18,4,4.956666666666666
4,19,2,1.6466666666666667
4,19,3,1.2866666666666666
4,19,4,3.0666666666666664
4,20,1,1.95
4,20,3,1.18
4,20,4,2.216666666666667
4,21,1,5.016666666666667
4,22,1,2.8633333333333333
4,22,2,2
4,22,3,1.5033333333333334
4,22,4,1.7733333333333334
4,23,2,3.3333333333333335
4,23,3,3.453333333333333
4,23,4,6.476666666666667
4,24,2,4.12
4,24,3,4.243333333333333
4,24,4,6.35
4,25,1,5.69
4,25,2,3.71
4,25,3,3.99
4,25,4,5.943333333333333
4,26,1,5.41
4,26,2,3.5466666666666664
4,26,3,3.05
4,26,4,4.87
5,1,1,4.445
5,1,3,3.65
5,2,3,2.565714285714286
5,2,4,4.13
5,3,1,4.07
5,3,2,2.18
5,3,3,2.24125
5,3,4,3.1825
5,4,1,3.675
5,4,2,3.5225
5,4,3,3.1174999999999997
5,4,4,4.5649999999999995
5,5,1,2.975
5,5,2,1.8175000000000001
5,5,3,0.585
5,5,4,1.966
5,6,1,3.525
5,6,2,2.5575
5,6,3,2.9825
5,6,4,3.52
5,7,1,5.04
5,7,2,3.75
5,7,3,3.4699999999999998
5,7,4,4.513333333333334
5,8,1,3.763333333333333
5,8,2,2.41
5,8,3,2.8766666666666665
5,8,4,4.0633333333333335
5,9,1,4.51
5,9,2,2.8666666666666667
5,9,3,3.375
5,9,4,6.426666666666667
5,10,1,4.796666666666667
5,10,2,3.3633333333333333
5,10,3,2.74
5,10,4,4.260000000000001
5,11,1,2.9633333333333334
5,11,2,3.3666666666666667
5,11,3,3.3966666666666665
5,11,4,4.279999999999999
5,12,1,3.4733333333333336
5,12,2,1.8233333333333335
5,12,3,2.026666666666667
5,12,4,2.3833333333333333
5,13,1,4.373333333333333
5,13,2,3.0466666666666664
5,13,3,2.85
5,13,4,5.013333333333334
5,14,1,4.703333333333333
5,14,3,2.05
5,14,4,3.575
5,15,1,2.9033333333333333
5,15,3,1.4066666666666667
5,15,4,3.81
5,16,1,6.24
5,16,3,3.84
5,16,4,6.846666666666667
5,17,1,4.73
5,17,2,4.223333333333334
5,17,3,4.366666666666667
5,17,4,4.806666666666667
5,18,1,4.85
5,18,2,3.3333333333333335
5,18,3,3.25
5,18,4,4.89
5,19,2,1.7833333333333334
5,19,3,1.5366666666666666
5,19,4,2.9733333333333336
5,20,1,2.48
5,20,3,1.26
5,20,4,2.1266666666666665
5,21,1,5.016666666666667
5,22,1,2.703333333333333
5,22,2,2.2666666666666666
5,22,3,1.6266666666666667
5,22,4,1.83
5,23,2,2.9466666666666668
5,23,3,3.5549999999999997
5,23,4,6.166666666666667
5,24,2,4.003333333333333
5,24,3,4.1866666666666665
5,24,4,5.726666666666667
5,25,2,4.25
5,25,4,5.95
5,26,1,5.65
5,26,2,3.4233333333333333
5,26,3,3.43
5,26,4,5.086666666666667
6,1,1,4.57
6,1,3,3.77
6,2,3,2.99
6,2,4,3.6725000000000003
6,3,1,3.3366666666666664
6,3,2,1.64
6,3,3,1.7275
6,3,4,2.325
6,4,1,3.18
6,4,2,3.1950000000000003
6,4,3,2.8725
6,4,4,4.203333333333333
6,5,1,3.2325
6,5,2,1.2675
6,5,3,1.3575
6,5,4,2.14
6,6,1,3.1525
6,6,2,2.4400000000000004
6,6,3,2.205
6,6,4,2.6475
6,7,1,4.45
6,7,2,3.67
6,7,3,3.061666666666667
6,7,4,3.6433333333333335
6,8,1,3.71
6,8,2,2.453333333333333
6,8,3,2.3383333333333334
6,8,4,3.55
6,9,1,3.756666666666667
6,9,2,2.9266666666666667
6,9,3,3.035
6,9,4,6.13
6,10,1,5.506666666666667
6,10,3,3.12
6,10,4,3.9
6,11,1,4.1033333333333335
6,11,3,3.04
6,11,4,4.04
6,12,1,2.2966666666666664
6,12,2,1.2333333333333334
6,12,3,1.3566666666666667
6,12,4,1.6533333333333333
6,13,1,4.236666666666667
6,13,2,2.4166666666666665
6,13,3,2.3033333333333332
6,13,4,4.09
6,14,1,4.293333333333333
6,14,2,2.8466666666666667
6,14,4,3.8233333333333337
6,15,1,3.65
6,15,3,1.4133333333333333
6,15,4,3.59
6,16,1,5.1433333333333335
6,16,3,3.53
6,16,4,5.04
6,17,1,4.3
6,17,2,3.86
6,17,3,3.986666666666667
6,17,4,4.23
6,18,1,5.066666666666666
6,18,2,3.4066666666666667
6,18,3,3.15
6,18,4,4.633333333333333
6,19,1,3.2266666666666666
6,19,2,1.87
6,19,3,1.2833333333333334
6,19,4,2.8533333333333335
6,20,1,2.9433333333333334
6,20,3,0.5033333333333334
6,20,4,1.59
6,21,1,4.973333333333334
6,21,3,2.973333333333333
6,22,4,1.52
6,23,2,2.736666666666667
6,23,3,2.9349999999999996
6,23,4,4.513333333333334
6,24,1,4.6033333333333335
6,24,2,3.5666666666666664
