# This is the output from BUGS,,,
"# mu[,4] estimates, i.e. expected April SST's",,,
"# low = 2.5% quantile, med= median, high=97.5% quantile",,,
,,,
low,med,high,year
4.831,5.117,5.418,1992
3.92,4.136,4.353,1993
3.007,3.268,3.529,1994
4.295,4.512,4.735,1995
1.578,2.015,2.475,1996
3.369,3.658,3.947,1997
4.497,4.781,5.082,1998
3.698,3.855,4.013,1999
4.639,4.962,5.281,2000
4.38,4.631,4.896,2001
4.175,4.461,4.754,2002
2.602,2.908,3.226,2003
4.096,4.365,4.624,2004
3.829,4.146,4.471,2005
2.668,2.99,3.299,2006
5.333,5.77,6.2,2007
5.297,5.546,5.833,2008
4.414,4.621,4.841,2009
2.281,2.585,2.88,2010
1.535,1.925,2.33,2011
4.094,4.487,4.871,2012
2.326,2.721,3.102,2013
4.556,4.921,5.287,2014
5.356,5.6,5.86,2015
5.18,5.481,5.788,2016
4.43,4.691,4.959,2017
1.783,4.146,6.476,2018
