# This is the output from BUGS,,,
"# mu[,4] estimates, i.e. expected April SST's",,,
"# low = 2.5% quantile, med= median, high=97.5% quantile",,,
,,,
low,med,high,year
4.831,5.119,5.427,1992
3.916,4.135,4.354,1993
3.007,3.269,3.523,1994
4.293,4.51,4.733,1995
1.587,2.019,2.457,1996
3.367,3.658,3.951,1997
4.499,4.781,5.066,1998
3.697,3.855,4.012,1999
4.632,4.96,5.281,2000
4.376,4.633,4.894,2001
4.175,4.46,4.756,2002
2.595,2.914,3.226,2003
4.098,4.366,4.633,2004
3.829,4.144,4.464,2005
2.671,2.99,3.301,2006
5.344,5.773,6.204,2007
5.296,5.546,5.828,2008
4.412,4.622,4.835,2009
2.283,2.588,2.877,2010
1.549,1.927,2.327,2011
4.098,4.482,4.867,2012
2.348,2.721,3.103,2013
4.547,4.917,5.283,2014
5.351,5.597,5.856,2015
5.176,5.479,5.785,2016
4.43,4.691,4.958,2017
2.376,4.703,6.609,2018
1.786,4.169,6.501,2019
